date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:06	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-663bc6f1-b7471c5fe5258b6;gz%22	https://evo-ai.website/robots.txt		(from )
12:25:06	8010/8010	---M-Z	200	added ('OK')	text/html	etag:%221f4a-675c481e-175d0959b2bd49d2;gz%22	https://evo-ai.website/	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/index.html	(from )
12:25:08	18187/18187	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202024%2011:25:09%20GMT	https://evo-ai.website/images/logo.jpg	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/images/logo.jpg	(from https://evo-ai.website/)
12:25:09	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-663bc6f1-b7471c5fe5258b6;gz%22	https://evo-ai.website/fonts.googleapis.com/index.html	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/fonts.googleapis.com/index.html	(from https://evo-ai.website/)
12:25:10	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-663bc6f1-b7471c5fe5258b6;gz%22	https://evo-ai.website/fonts.gstatic.com/index.html	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/fonts.gstatic.com/index.html	(from https://evo-ai.website/)
12:25:11	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-663bc6f1-b7471c5fe5258b6;gz%22	https://evo-ai.website/fonts.googleapis.com/css2e899.css?family=Sofia+Sans:ital,wght@0,1..1000;1,1..1000&display=swap	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/fonts.googleapis.com/css2e899e899.css	(from https://evo-ai.website/)
12:25:13	1061/1061	---M-Z	200	added ('OK')	text/css	etag:%22425-675ade74-401d0a7453124044;gz%22	https://evo-ai.website/css/global.css	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/css/global.css	(from https://evo-ai.website/)
12:25:14	7783/7783	---M-Z	200	added ('OK')	text/css	etag:%221e67-675ade74-ce9981943b276845;gz%22	https://evo-ai.website/css/style.css	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/css/style.css	(from https://evo-ai.website/)
12:25:15	3557/3557	---M-Z	200	added ('OK')	text/css	etag:%22de5-675ade74-826d7786ccebbed7;gz%22	https://evo-ai.website/css/responsive.css	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/css/responsive.css	(from https://evo-ai.website/)
12:25:16	1245/1245	---M-Z	200	added ('OK')	text/html	etag:%224dd-675ade73-50f304620048b913;gz%22	https://evo-ai.website/109d3a64af.html	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/109d3a64af.html	(from https://evo-ai.website/)
12:25:18	49605/49605	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Dec%202024%2011:25:19%20GMT	https://evo-ai.website/images/logo.png	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/images/logo.png	(from https://evo-ai.website/)
12:25:19	960/960	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Dec%202024%2011:25:20%20GMT	https://evo-ai.website/images/twitter.png	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/images/twitter.png	(from https://evo-ai.website/)
12:25:20	1578/1578	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Dec%202024%2011:25:21%20GMT	https://evo-ai.website/images/tg.png	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/images/tg.png	(from https://evo-ai.website/)
12:25:22	95601/95601	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Dec%202024%2011:25:23%20GMT	https://evo-ai.website/images/jup.png	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/images/jup.png	(from https://evo-ai.website/)
12:25:23	12357/12357	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Dec%202024%2011:25:24%20GMT	https://evo-ai.website/images/dextools.png	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/images/dextools.png	(from https://evo-ai.website/)
12:25:24	16496/16496	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Dec%202024%2011:25:26%20GMT	https://evo-ai.website/images/dexscreener.png	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/images/dexscreener.png	(from https://evo-ai.website/)
12:25:26	48537/48537	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202024%2011:25:27%20GMT	https://evo-ai.website/images/banner.jpg	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/images/banner.jpg	(from https://evo-ai.website/)
12:25:32	14012783/14012783	---M--	200	added ('OK')	image/gif	etag:%22d5d16f-675ade78-67e4a89c66cfbf72;;;%22	https://evo-ai.website/images/buy.gif	C:/Users/USER/OneDrive/Desktop/pumpbot/pumpbot/evo-ai.website/images/buy.gif	(from https://evo-ai.website/)
